geoid,county,state,pageRank
29147,Nodaway,Missouri,1.3374378823169766
13115,Floyd,Georgia,1.3365658796221134
53077,Yakima,Washington,1.336450246738407
05045,Faulkner,Arkansas,1.3352693057752343
72069,Humacao Municipio,Puerto Rico,1.3318517263566965
33011,Hillsborough,New Hampshire,1.331736142150984
46041,Dewey,South Dakota,1.328921103818461
46121,Todd,South Dakota,1.3278837760195565
08117,Summit,Colorado,1.3273977910323713
27105,Nobles,Minnesota,1.3198617364008574
55111,Sauk,Wisconsin,1.3171206243114597
48339,Montgomery,Texas,1.3166146920728834
27003,Anoka,Minnesota,1.3140995955854489
51153,Prince William,Virginia,1.311754923533213
40151,Woods,Oklahoma,1.3108127971963255
01109,Pike,Alabama,1.3086713464189568
08125,Yuma,Colorado,1.3057274392384244
47031,Coffee,Tennessee,1.3047009071551208
05061,Howard,Arkansas,1.3020225162241819
72091,Manatí Municipio,Puerto Rico,1.2995950031152472
48121,Denton,Texas,1.2977320463752942
26139,Ottawa,Michigan,1.2975312088568267
51191,Washington,Virginia,1.2961015136274474
21009,Barren,Kentucky,1.2956556320411663
54045,Logan,West Virginia,1.294981051180945
51015,Augusta,Virginia,1.2938244234435714
39173,Wood,Ohio,1.2923534420577212
38085,Sioux,North Dakota,1.2923440342234085
38081,Sargent,North Dakota,1.292082843856761
17197,Will,Illinois,1.2895372160885863
27015,Brown,Minnesota,1.2888801421473384
34021,Mercer,New Jersey,1.2887548102248285
29117,Livingston,Missouri,1.285349805089449
26137,Otsego,Michigan,1.284097247518184
51085,Hanover,Virginia,1.2838743449000496
20155,Reno,Kansas,1.2809677377115896
19041,Clay,Iowa,1.2802220318524125
27007,Beltrami,Minnesota,1.2755835591372704
47063,Hamblen,Tennessee,1.2733688142701793
29159,Pettis,Missouri,1.2714506459779686
37127,Nash,North Carolina,1.2705697607139699
54055,Mercer,West Virginia,1.268495901402324
28143,Tunica,Mississippi,1.2679568162737498
28059,Jackson,Mississippi,1.2674237908585555
06023,Humboldt,California,1.2668212323837427
48249,Jim Wells,Texas,1.2667199704332492
02090,Fairbanks North Star Borough,Alaska,1.2665563371313988
01015,Calhoun,Alabama,1.2664898325440355
13275,Thomas,Georgia,1.2662449972625467
25013,Hampden,Massachusetts,1.265422662497059
12023,Columbia,Florida,1.2652678238273343
26033,Chippewa,Michigan,1.2651847311167523
48211,Hemphill,Texas,1.263777225973036
08099,Prowers,Colorado,1.263035507820159
56029,Park,Wyoming,1.2625442270781355
24045,Wicomico,Maryland,1.2585072916467497
48491,Williamson,Texas,1.2578001550535993
39057,Greene,Ohio,1.2567397656344708
40101,Muskogee,Oklahoma,1.2563268282237374
08051,Gunnison,Colorado,1.2561274198836865
08113,San Miguel,Colorado,1.2534594598092568
29187,St. Francois,Missouri,1.2530965207839095
04005,Coconino,Arizona,1.2514812182123893
25009,Essex,Massachusetts,1.2503675296534498
30029,Flathead,Montana,1.2494567628815565
31029,Chase,Nebraska,1.2493795774497842
13009,Baldwin,Georgia,1.248659201915891
19155,Pottawattamie,Iowa,1.2457020655790267
19125,Marion,Iowa,1.2410074785734901
36005,Bronx,New York,1.2404514724017177
48371,Pecos,Texas,1.2395136224622116
26049,Genesee,Michigan,1.238295864423686
20113,McPherson,Kansas,1.2360288152643693
48277,Lamar,Texas,1.2358122005901548
19101,Jefferson,Iowa,1.2353516409703869
08071,Las Animas,Colorado,1.2346333036143475
42071,Lancaster,Pennsylvania,1.2346121773257974
51510,Alexandria city,Virginia,1.2345588942168664
20145,Pawnee,Kansas,1.2326645577089486
06029,Kern,California,1.2316232095254829
45085,Sumter,South Carolina,1.2310644067215855
21205,Rowan,Kentucky,1.2293768271508354
26025,Calhoun,Michigan,1.2279108217650527
31137,Phelps,Nebraska,1.2275491684881354
