sampling_week,effective_concentration_rolling_average,region,state,name,fipscode
2020/6/10,0,West,MT,"Park County, MT",30067
2020/6/10,183.572026,Midwest,IL,"Peoria County, IL",17143
2020/6/10,107.8756825,West,CA,"Placer County, CA",6061
2020/6/10,50.06705759,West,WA,"Skagit County, WA",53057
2020/6/10,146.5246061,South,VA,"Stafford County, VA",51179
2020/6/10,24.12466729,Midwest,IN,"Steuben County, IN",18151
2020/6/10,45.40256173,Northeast,MA,"Suffolk County, MA",25025
2020/6/10,17.27036845,Northeast,MA,"Town and County of Nantucket, MA",25019
2020/6/10,12.89540723,Northeast,NJ,"Union County, NJ",34039
2020/6/10,0,Northeast,RI,"Washington County, RI",44009
2020/6/17,229.2750499,West,ID,"Ada County, ID",16001
2020/6/17,45.03986337,West,CO,"Arapahoe County, CO",8005
2020/6/17,418.0090714,Northeast,PA,"Dauphin County, PA",42043
2020/6/17,15.88171661,West,NV,"Elko County, NV",32007
2020/6/17,19.47886396,Northeast,PA,"Erie County, PA",42049
2020/6/17,22.48792943,Northeast,NJ,"Essex County, NJ",34013
2020/6/17,30.5403454,Northeast,CT,"Fairfield County, CT",9001
2020/6/17,39.0537611,Northeast,PA,"Franklin County, PA",42055
2020/6/17,206.5931182,Midwest,MN,"Hennepin County, MN",27053
2020/6/17,26.91073928,Northeast,PA,"Indiana County, PA",42063
2020/6/17,98.89283827,South,KY,"Jefferson County, KY",21111
2020/6/17,24.38000511,Midwest,IN,"Lake County, IN",18089
2020/6/17,282.6648573,South,FL,"Miami-Dade County, FL",12086
2020/6/17,111.2668307,West,CA,"Monterey County, CA",6053
2020/6/17,70.57616254,Northeast,DE,"New Castle County, DE",10003
2020/6/17,705.7920318,South,FL,"Palm Beach County, FL",12099
2020/6/17,0,West,MT,"Park County, MT",30067
2020/6/17,122.3912937,Midwest,IL,"Peoria County, IL",17143
2020/6/17,306.9729284,West,CA,"Placer County, CA",6061
2020/6/17,84.98939494,West,WA,"Skagit County, WA",53057
2020/6/17,24.43603111,Midwest,IN,"Steuben County, IN",18151
2020/6/17,31.33259545,Northeast,MA,"Suffolk County, MA",25025
2020/6/17,6.27504831,Northeast,NJ,"Union County, NJ",34039
2020/6/24,366.3933399,West,ID,"Ada County, ID",16001
2020/6/24,22.15191975,West,CO,"Arapahoe County, CO",8005
2020/6/24,222.3004178,Northeast,PA,"Dauphin County, PA",42043
2020/6/24,43.63498878,West,NV,"Elko County, NV",32007
2020/6/24,12.02329464,Northeast,PA,"Erie County, PA",42049
2020/6/24,10.02741541,Northeast,CT,"Fairfield County, CT",9001
2020/6/24,45.18954729,Northeast,PA,"Franklin County, PA",42055
2020/6/24,118.1680187,South,TN,"Hamilton County, TN",47065
2020/6/24,87.74808576,Midwest,MN,"Hennepin County, MN",27053
2020/6/24,42.14572527,Northeast,PA,"Indiana County, PA",42063
2020/6/24,65.33027374,South,KY,"Jefferson County, KY",21111
2020/6/24,71.35785937,Midwest,IN,"Lake County, IN",18089
2020/6/24,342.2460703,South,FL,"Miami-Dade County, FL",12086
2020/6/24,50.9396923,West,CA,"Monterey County, CA",6053
2020/6/24,6.518394248,Northeast,PA,"Montgomery County, PA",42091
2020/6/24,71.61078189,West,OR,"Multnomah County, OR",41051
2020/6/24,0.689997506,Northeast,NY,"Nassau County, NY",36059
2020/6/24,48.47616693,Northeast,DE,"New Castle County, DE",10003
2020/6/24,8.702368681,West,MT,"Park County, MT",30067
2020/6/24,63.69980346,Midwest,IL,"Peoria County, IL",17143
2020/6/24,144.3521452,West,CA,"Placer County, CA",6061
2020/6/24,52.39951676,West,WA,"Skagit County, WA",53057
2020/6/24,18.25002749,Northeast,MA,"Suffolk County, MA",25025
2020/6/24,5.06085364,Northeast,MA,"Town and County of Nantucket, MA",25019
2020/6/24,0.272456257,Northeast,RI,"Washington County, RI",44009
2020/7/1,23.85420981,West,CO,"Arapahoe County, CO",8005
2020/7/1,213.6507193,Northeast,PA,"Dauphin County, PA",42043
2020/7/1,72.11344332,West,NV,"Elko County, NV",32007
2020/7/1,19.72785523,Northeast,PA,"Erie County, PA",42049
2020/7/1,15.19343573,Northeast,CT,"Fairfield County, CT",9001
2020/7/1,16.05805188,Northeast,MA,"Hampshire County, MA",25015
2020/7/1,86.88524137,Midwest,MN,"Hennepin County, MN",27053
2020/7/1,30.62060982,Northeast,PA,"Indiana County, PA",42063
2020/7/1,98.98542749,South,KY,"Jefferson County, KY",21111
2020/7/1,244.9971243,West,ID,"Latah County, ID",16057
2020/7/1,691.3974954,South,FL,"Miami-Dade County, FL",12086
2020/7/1,27.85855315,West,CA,"Monterey County, CA",6053
2020/7/1,61.16219085,Northeast,DE,"New Castle County, DE",10003
2020/7/1,54.03092693,West,MT,"Park County, MT",30067
2020/7/1,69.1361962,Midwest,IL,"Peoria County, IL",17143
2020/7/1,94.51927397,West,CA,"Placer County, CA",6061
2020/7/1,66.15377545,West,WA,"Skagit County, WA",53057
2020/7/1,32.19245056,Midwest,IN,"Steuben County, IN",18151
